   0.002161917s  INFO kintaro::processor: [draw] 0 def(s): []
   0.002186875s  INFO kintaro::processor: [draw] routing (brush-index → draw): {}
   0.010386500s  INFO kintaro::processor: [SoCoolProcessor] Parse & normalize: 7.980333ms
   0.010999833s  INFO kintaro::processor: [length-env] 30 named lengths available
   0.011098833s  INFO kintaro::processor: [warp] 1 def(s): ["passthrough"]
   0.011101208s  INFO kintaro::processor: [warp] routing (brush-index → chain): {}
   0.011904958s  INFO kintaro::processor: [SoCoolProcessor] nf_to_vec_renderable: 569.541µs
   0.011967667s  INFO kintaro::color: [light] none declared — marks are unshaded (add `light sun = { from: (-1, 1, 0) }` or a `light:` header)
   0.012675792s  INFO kintaro::processor: [SoCoolProcessor] renderables_to_render_voices: 617.625µs
   0.012728583s  INFO kintaro::color: [light] no directional light — marks are unshaded (add `light sun = { from: (-1, 1, 0) }`)
   0.013593167s  INFO kintaro::processor: [SoCoolProcessor] Shader generation: 913.583µs
   0.013601917s  INFO kintaro::processor: [SoCoolProcessor] brush specs:
  brush default: flat warp=- draw=- surface=-

   0.013602542s  INFO kintaro::processor: [SoCoolProcessor] Total: 13.455333ms
   0.125329792s  INFO plugin build{plugin="bevy_diagnostic::DiagnosticsPlugin"}: bevy_diagnostic::system_information_diagnostics_plugin::internal: SystemInfo { os: "macOS 15.7.4 Sequoia", kernel: "24.6.0", cpu: "Apple M4 Max", core_count: "16", memory: "128.0 GiB" }
   0.125458167s  INFO plugin build{plugin="bevy_app::terminal_ctrl_c_handler::TerminalCtrlCHandlerPlugin"}: bevy_app::terminal_ctrl_c_handler: Skipping installing `Ctrl+C` handler as one was already installed. Please call `TerminalCtrlCHandlerPlugin::gracefully_exit` in your own `Ctrl+C` handler if you want Bevy to gracefully exit on `Ctrl+C`.
   0.125502542s  WARN plugin build{plugin="bevy_asset::AssetPlugin"}: bevy_asset::io::source: AssetSourceId::Default does not have an AssetWatcher configured. Consider enabling the `file_watcher` feature.
   0.198458083s  INFO kintaro::app: [pool] inserting templated compute shader at POOL_SHADER_HANDLE (10632 bytes)
   0.210435292s  WARN bevy_app:plugin finish:plugin finish{plugin="bevy_egui::EguiPlugin"}: bevy_egui::render: Bindless textures are not yet supported on metal. Disabling bindless mode. See https://github.com/bevyengine/bevy/issues/18149 for more information
   0.228631375s  INFO bevy_app: bevy_winit::system: Creating new window Kintaro | /Users/danny/code/weresocool_compositions/deep_pocket.socool (0v0)
   0.251023500s  INFO system{name="kintaro::feedback::setup_feedback"}: kintaro::warp: [warp] resolution scale = 0.33 → texture size 844x475
   0.363325000s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 40 note(s) the playhead had already passed (the render path was still warming up)
   0.828605292s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 9 note(s) the playhead had already passed (the render path was still warming up)
   1.828843167s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 18 note(s) the playhead had already passed (the render path was still warming up)
   2.828911000s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 12 note(s) the playhead had already passed (the render path was still warming up)
