   0.010875750s  INFO kintaro::processor: [draw] 0 def(s): []
   0.011539541s  INFO kintaro::processor: [draw] routing (brush-index → draw): {}
   0.018826291s  INFO kintaro::processor: [SoCoolProcessor] Parse & normalize: 6.564959ms
   0.019333333s  INFO kintaro::processor: [length-env] 25 named lengths available
   0.019975125s  INFO kintaro::processor: [warp] 1 def(s): ["passthrough"]
   0.019977125s  INFO kintaro::processor: [warp] routing (brush-index → chain): {}
   0.022004208s  INFO kintaro::processor: [SoCoolProcessor] nf_to_vec_renderable: 395.833µs
   0.022058375s  INFO kintaro::color: [light] none declared — marks are unshaded (add `light sun = { from: (-1, 1, 0) }` or a `light:` header)
   0.022575375s  INFO kintaro::processor: [SoCoolProcessor] renderables_to_render_voices: 260.292µs
   0.023909875s  INFO kintaro::color: [light] no directional light — marks are unshaded (add `light sun = { from: (-1, 1, 0) }`)
   0.028260708s  INFO kintaro::processor: [SoCoolProcessor] Shader generation: 5.683417ms
   0.028282958s  INFO kintaro::processor: [SoCoolProcessor] brush specs:
  brush default: flat warp=- draw=- surface=-

   0.028285166s  INFO kintaro::processor: [SoCoolProcessor] Total: 24.769584ms
   0.180654833s  INFO plugin build{plugin="bevy_diagnostic::DiagnosticsPlugin"}: bevy_diagnostic::system_information_diagnostics_plugin::internal: SystemInfo { os: "macOS 15.7.4 Sequoia", kernel: "24.6.0", cpu: "Apple M4 Max", core_count: "16", memory: "128.0 GiB" }
   0.181277750s  INFO plugin build{plugin="bevy_app::terminal_ctrl_c_handler::TerminalCtrlCHandlerPlugin"}: bevy_app::terminal_ctrl_c_handler: Skipping installing `Ctrl+C` handler as one was already installed. Please call `TerminalCtrlCHandlerPlugin::gracefully_exit` in your own `Ctrl+C` handler if you want Bevy to gracefully exit on `Ctrl+C`.
   0.181806416s  WARN plugin build{plugin="bevy_asset::AssetPlugin"}: bevy_asset::io::source: AssetSourceId::Default does not have an AssetWatcher configured. Consider enabling the `file_watcher` feature.
   0.287677333s  INFO kintaro::app: [pool] inserting templated compute shader at POOL_SHADER_HANDLE (10632 bytes)
   0.308358833s  WARN bevy_app:plugin finish:plugin finish{plugin="bevy_egui::EguiPlugin"}: bevy_egui::render: Bindless textures are not yet supported on metal. Disabling bindless mode. See https://github.com/bevyengine/bevy/issues/18149 for more information
   0.331390583s  INFO bevy_app: bevy_winit::system: Creating new window Kintaro | /Users/danny/code/weresocool_compositions/head_nod.socool (0v0)
   0.360054166s  INFO system{name="kintaro::feedback::setup_feedback"}: kintaro::warp: [warp] resolution scale = 0.33 → texture size 844x475
   0.488271125s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 190 note(s) the playhead had already passed (the render path was still warming up)
   0.803511083s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 6 note(s) the playhead had already passed (the render path was still warming up)
   1.802723250s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 6 note(s) the playhead had already passed (the render path was still warming up)
   2.803637541s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 6 note(s) the playhead had already passed (the render path was still warming up)
   3.803316875s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 6 note(s) the playhead had already passed (the render path was still warming up)
   4.803196625s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 15 note(s) the playhead had already passed (the render path was still warming up)
   5.303451666s  INFO system{name="kintaro::profiling::report_frame_cost"}: kintaro::perf: [frame] 116 fps (8.6 ms avg, worst 57.5) — 0.1k marks/s, ~1.6k live (12.0 u life)
   5.803455708s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 4 note(s) the playhead had already passed (the render path was still warming up)
   6.803040875s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 6 note(s) the playhead had already passed (the render path was still warming up)
   7.802742458s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 4 note(s) the playhead had already passed (the render path was still warming up)
