   0.001160208s  INFO kintaro::processor: [draw] 0 def(s): []
   0.001184916s  INFO kintaro::processor: [draw] routing (brush-index → draw): {}
   0.135308000s  INFO kintaro::processor: [SoCoolProcessor] Parse & normalize: 134.030375ms
   0.152974291s  INFO kintaro::processor: [length-env] 6 named lengths available
   0.153033875s  INFO kintaro::processor: [warp] 1 def(s): ["passthrough"]
   0.153036375s  INFO kintaro::processor: [warp] routing (brush-index → chain): {}
   0.174463625s  INFO kintaro::processor: [SoCoolProcessor] nf_to_vec_renderable: 21.154958ms
   0.175239083s  INFO kintaro::color: [light] none declared — marks are unshaded (add `light sun = { from: (-1, 1, 0) }` or a `light:` header)
   0.179319333s  INFO kintaro::processor: [SoCoolProcessor] renderables_to_render_voices: 3.795125ms
   0.179368666s  INFO kintaro::color: [light] no directional light — marks are unshaded (add `light sun = { from: (-1, 1, 0) }`)
   0.180110750s  INFO kintaro::processor: [SoCoolProcessor] Shader generation: 785.541µs
   0.180119291s  INFO kintaro::processor: [SoCoolProcessor] brush specs:
  brush default: flat warp=- draw=- surface=-

   0.180120125s  INFO kintaro::processor: [SoCoolProcessor] Total: 179.179083ms
   0.279971333s  INFO bevy_diagnostic::system_information_diagnostics_plugin::internal: SystemInfo { os: "macOS 15.7.4 Sequoia", kernel: "24.6.0", cpu: "Apple M4 Max", core_count: "16", memory: "128.0 GiB" }
   0.280074000s  INFO bevy_app::terminal_ctrl_c_handler: Skipping installing `Ctrl+C` handler as one was already installed. Please call `TerminalCtrlCHandlerPlugin::gracefully_exit` in your own `Ctrl+C` handler if you want Bevy to gracefully exit on `Ctrl+C`.
   0.280105291s  WARN bevy_asset::io::source: AssetSourceId::Default does not have an AssetWatcher configured. Consider enabling the `file_watcher` feature.
   0.358622875s  INFO kintaro::app: [pool] inserting templated compute shader at POOL_SHADER_HANDLE (10632 bytes)
   0.370021416s  WARN bevy_egui::render: Bindless textures are not yet supported on metal. Disabling bindless mode. See https://github.com/bevyengine/bevy/issues/18149 for more information
   0.388510041s  INFO bevy_winit::system: Creating new window Kintaro | /Users/danny/code/weresocool_compositions/never_smile.socool (0v0)
   0.417820791s  INFO kintaro::warp: [warp] resolution scale = 0.33 → texture size 844x475
   0.704832625s  INFO kintaro::brush: [brush] skipped 225 note(s) the playhead had already passed (the render path was still warming up)
   0.779938208s  INFO kintaro::brush: [brush] skipped 150 note(s) the playhead had already passed (the render path was still warming up)
