   0.009091042s  INFO kintaro::processor: [draw] 0 def(s): []
   0.009675958s  INFO kintaro::processor: [draw] routing (brush-index → draw): {}
   0.207973500s  INFO kintaro::processor: [SoCoolProcessor] Parse & normalize: 197.758833ms
   0.311003208s  INFO kintaro::processor: [length-env] 4 named lengths available
   0.311615000s  INFO kintaro::processor: [warp] 1 def(s): ["passthrough"]
   0.311617917s  INFO kintaro::processor: [warp] routing (brush-index → chain): {}
   0.394631250s  INFO kintaro::processor: [SoCoolProcessor] nf_to_vec_renderable: 82.82425ms
   0.397369958s  INFO kintaro::color: [light] none declared — marks are unshaded (add `light sun = { from: (-1, 1, 0) }` or a `light:` header)
   0.403156000s  INFO kintaro::processor: [SoCoolProcessor] renderables_to_render_voices: 4.088875ms
   0.404249125s  INFO kintaro::color: [light] no directional light — marks are unshaded (add `light sun = { from: (-1, 1, 0) }`)
   0.408733375s  INFO kintaro::processor: [SoCoolProcessor] Shader generation: 5.569625ms
   0.408891875s  INFO kintaro::processor: [SoCoolProcessor] brush specs:
  brush default: flat warp=- draw=- surface=-

   0.408893833s  INFO kintaro::processor: [SoCoolProcessor] Total: 406.054125ms
   0.640582042s  INFO plugin build{plugin="bevy_diagnostic::DiagnosticsPlugin"}: bevy_diagnostic::system_information_diagnostics_plugin::internal: SystemInfo { os: "macOS 15.7.4 Sequoia", kernel: "24.6.0", cpu: "Apple M4 Max", core_count: "16", memory: "128.0 GiB" }
   0.641010167s  INFO plugin build{plugin="bevy_app::terminal_ctrl_c_handler::TerminalCtrlCHandlerPlugin"}: bevy_app::terminal_ctrl_c_handler: Skipping installing `Ctrl+C` handler as one was already installed. Please call `TerminalCtrlCHandlerPlugin::gracefully_exit` in your own `Ctrl+C` handler if you want Bevy to gracefully exit on `Ctrl+C`.
   0.641295042s  WARN plugin build{plugin="bevy_asset::AssetPlugin"}: bevy_asset::io::source: AssetSourceId::Default does not have an AssetWatcher configured. Consider enabling the `file_watcher` feature.
   0.752267625s  INFO kintaro::app: [pool] inserting templated compute shader at POOL_SHADER_HANDLE (10632 bytes)
   0.768536417s  WARN bevy_app:plugin finish:plugin finish{plugin="bevy_egui::EguiPlugin"}: bevy_egui::render: Bindless textures are not yet supported on metal. Disabling bindless mode. See https://github.com/bevyengine/bevy/issues/18149 for more information
   0.785527958s  INFO bevy_app: bevy_winit::system: Creating new window Kintaro | /Users/danny/code/weresocool_compositions/okinawa.socool (0v0)
   0.819257583s  INFO system{name="kintaro::feedback::setup_feedback"}: kintaro::warp: [warp] resolution scale = 0.33 → texture size 844x475
