   0.003003916s  INFO kintaro::processor: [draw] 0 def(s): []
   0.003042875s  INFO kintaro::processor: [draw] routing (brush-index → draw): {}
   0.100325083s  INFO kintaro::processor: [SoCoolProcessor] Parse & normalize: 97.105333ms
   0.131646500s  INFO kintaro::processor: [length-env] 3 named lengths available
   0.131776416s  INFO kintaro::processor: [warp] 1 def(s): ["passthrough"]
   0.131778666s  INFO kintaro::processor: [warp] routing (brush-index → chain): {}
   0.170904083s  INFO kintaro::processor: [SoCoolProcessor] nf_to_vec_renderable: 38.882167ms
   0.173503958s  INFO kintaro::color: [light] none declared — marks are unshaded (add `light sun = { from: (-1, 1, 0) }` or a `light:` header)
   0.176841041s  INFO kintaro::processor: [SoCoolProcessor] renderables_to_render_voices: 2.767916ms
   0.176906291s  INFO kintaro::color: [light] no directional light — marks are unshaded (add `light sun = { from: (-1, 1, 0) }`)
   0.177665500s  INFO kintaro::processor: [SoCoolProcessor] Shader generation: 818.208µs
   0.177676541s  INFO kintaro::processor: [SoCoolProcessor] brush specs:
  brush default: flat warp=- draw=- surface=-

   0.177677416s  INFO kintaro::processor: [SoCoolProcessor] Total: 176.441709ms
   0.280844708s  INFO plugin build{plugin="bevy_diagnostic::DiagnosticsPlugin"}: bevy_diagnostic::system_information_diagnostics_plugin::internal: SystemInfo { os: "macOS 15.7.4 Sequoia", kernel: "24.6.0", cpu: "Apple M4 Max", core_count: "16", memory: "128.0 GiB" }
   0.280954916s  INFO plugin build{plugin="bevy_app::terminal_ctrl_c_handler::TerminalCtrlCHandlerPlugin"}: bevy_app::terminal_ctrl_c_handler: Skipping installing `Ctrl+C` handler as one was already installed. Please call `TerminalCtrlCHandlerPlugin::gracefully_exit` in your own `Ctrl+C` handler if you want Bevy to gracefully exit on `Ctrl+C`.
   0.280987333s  WARN plugin build{plugin="bevy_asset::AssetPlugin"}: bevy_asset::io::source: AssetSourceId::Default does not have an AssetWatcher configured. Consider enabling the `file_watcher` feature.
   0.357598291s  INFO kintaro::app: [pool] inserting templated compute shader at POOL_SHADER_HANDLE (10632 bytes)
   0.371359000s  WARN bevy_app:plugin finish:plugin finish{plugin="bevy_egui::EguiPlugin"}: bevy_egui::render: Bindless textures are not yet supported on metal. Disabling bindless mode. See https://github.com/bevyengine/bevy/issues/18149 for more information
   0.387545875s  INFO bevy_app: bevy_winit::system: Creating new window Kintaro | /Users/danny/code/weresocool_compositions/tamura.socool (0v0)
   0.417375833s  INFO system{name="kintaro::feedback::setup_feedback"}: kintaro::warp: [warp] resolution scale = 0.33 → texture size 844x475
