   0.003134666s  INFO kintaro::processor: [draw] 0 def(s): []
   0.003173791s  INFO kintaro::processor: [draw] routing (brush-index → draw): {}
   0.006193125s  INFO kintaro::processor: [SoCoolProcessor] Parse & normalize: 2.83525ms
   0.006570083s  INFO kintaro::processor: [length-env] 5 named lengths available
   0.006700541s  INFO kintaro::processor: [warp] 1 def(s): ["passthrough"]
   0.006702750s  INFO kintaro::processor: [warp] routing (brush-index → chain): {}
   0.007543750s  INFO kintaro::processor: [SoCoolProcessor] nf_to_vec_renderable: 555.875µs
   0.007604958s  INFO kintaro::color: [light] none declared — marks are unshaded (add `light sun = { from: (-1, 1, 0) }` or a `light:` header)
   0.008238333s  INFO kintaro::processor: [SoCoolProcessor] renderables_to_render_voices: 560.5µs
   0.008327291s  INFO kintaro::color: [light] no directional light — marks are unshaded (add `light sun = { from: (-1, 1, 0) }`)
   0.009352583s  INFO kintaro::processor: [SoCoolProcessor] Shader generation: 1.109625ms
   0.009368833s  INFO kintaro::processor: [SoCoolProcessor] brush specs:
  brush default: flat warp=- draw=- surface=-

   0.009370791s  INFO kintaro::processor: [SoCoolProcessor] Total: 8.088167ms
   0.096285750s  INFO plugin build{plugin="bevy_diagnostic::DiagnosticsPlugin"}: bevy_diagnostic::system_information_diagnostics_plugin::internal: SystemInfo { os: "macOS 15.7.4 Sequoia", kernel: "24.6.0", cpu: "Apple M4 Max", core_count: "16", memory: "128.0 GiB" }
   0.096411083s  INFO plugin build{plugin="bevy_app::terminal_ctrl_c_handler::TerminalCtrlCHandlerPlugin"}: bevy_app::terminal_ctrl_c_handler: Skipping installing `Ctrl+C` handler as one was already installed. Please call `TerminalCtrlCHandlerPlugin::gracefully_exit` in your own `Ctrl+C` handler if you want Bevy to gracefully exit on `Ctrl+C`.
   0.096459083s  WARN plugin build{plugin="bevy_asset::AssetPlugin"}: bevy_asset::io::source: AssetSourceId::Default does not have an AssetWatcher configured. Consider enabling the `file_watcher` feature.
   0.171734125s  INFO kintaro::app: [pool] inserting templated compute shader at POOL_SHADER_HANDLE (10632 bytes)
   0.183112583s  WARN bevy_app:plugin finish:plugin finish{plugin="bevy_egui::EguiPlugin"}: bevy_egui::render: Bindless textures are not yet supported on metal. Disabling bindless mode. See https://github.com/bevyengine/bevy/issues/18149 for more information
   0.199832083s  INFO bevy_app: bevy_winit::system: Creating new window Kintaro | /Users/danny/code/weresocool_compositions/threes.socool (0v0)
   0.231154291s  INFO system{name="kintaro::feedback::setup_feedback"}: kintaro::warp: [warp] resolution scale = 0.33 → texture size 844x475
