   0.002835542s  INFO kintaro::processor: [draw] 0 def(s): []
   0.002865000s  INFO kintaro::processor: [draw] routing (brush-index → draw): {}
   0.007105042s  INFO kintaro::processor: [SoCoolProcessor] Parse & normalize: 3.976375ms
   0.007564375s  INFO kintaro::processor: [length-env] 26 named lengths available
   0.007684042s  INFO kintaro::processor: [warp] 1 def(s): ["passthrough"]
   0.007686667s  INFO kintaro::processor: [warp] routing (brush-index → chain): {}
   0.008387708s  INFO kintaro::processor: [SoCoolProcessor] nf_to_vec_renderable: 510.125µs
   0.008466458s  INFO kintaro::color: [light] none declared — marks are unshaded (add `light sun = { from: (-1, 1, 0) }` or a `light:` header)
   0.009085875s  INFO kintaro::processor: [SoCoolProcessor] renderables_to_render_voices: 525.708µs
   0.009155458s  INFO kintaro::color: [light] no directional light — marks are unshaded (add `light sun = { from: (-1, 1, 0) }`)
   0.010260625s  INFO kintaro::processor: [SoCoolProcessor] Shader generation: 1.171833ms
   0.010272167s  INFO kintaro::processor: [SoCoolProcessor] brush specs:
  brush default: flat warp=- draw=- surface=-

   0.010273083s  INFO kintaro::processor: [SoCoolProcessor] Total: 9.855334ms
   0.154084708s  INFO plugin build{plugin="bevy_diagnostic::DiagnosticsPlugin"}: bevy_diagnostic::system_information_diagnostics_plugin::internal: SystemInfo { os: "macOS 15.7.4 Sequoia", kernel: "24.6.0", cpu: "Apple M4 Max", core_count: "16", memory: "128.0 GiB" }
   0.154232792s  INFO plugin build{plugin="bevy_app::terminal_ctrl_c_handler::TerminalCtrlCHandlerPlugin"}: bevy_app::terminal_ctrl_c_handler: Skipping installing `Ctrl+C` handler as one was already installed. Please call `TerminalCtrlCHandlerPlugin::gracefully_exit` in your own `Ctrl+C` handler if you want Bevy to gracefully exit on `Ctrl+C`.
   0.154279417s  WARN plugin build{plugin="bevy_asset::AssetPlugin"}: bevy_asset::io::source: AssetSourceId::Default does not have an AssetWatcher configured. Consider enabling the `file_watcher` feature.
   0.218272917s  INFO kintaro::app: [pool] inserting templated compute shader at POOL_SHADER_HANDLE (10632 bytes)
   0.228859500s  WARN bevy_app:plugin finish:plugin finish{plugin="bevy_egui::EguiPlugin"}: bevy_egui::render: Bindless textures are not yet supported on metal. Disabling bindless mode. See https://github.com/bevyengine/bevy/issues/18149 for more information
   0.244935125s  INFO bevy_app: bevy_winit::system: Creating new window Kintaro | /Users/danny/code/weresocool_compositions/yurakucho_neon.socool (0v0)
   0.270703542s  INFO system{name="kintaro::feedback::setup_feedback"}: kintaro::warp: [warp] resolution scale = 0.33 → texture size 844x475
   0.371415292s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 148 note(s) the playhead had already passed (the render path was still warming up)
   1.159072917s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 6 note(s) the playhead had already passed (the render path was still warming up)
   2.166694333s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 6 note(s) the playhead had already passed (the render path was still warming up)
   3.159202667s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 6 note(s) the playhead had already passed (the render path was still warming up)
   4.159360917s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 6 note(s) the playhead had already passed (the render path was still warming up)
   5.159493708s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 6 note(s) the playhead had already passed (the render path was still warming up)
   5.226273458s  INFO system{name="kintaro::profiling::report_frame_cost"}: kintaro::perf: [frame] 117 fps (8.5 ms avg, worst 41.3) — 1.4k marks/s, ~17.3k live (12.0 u life)
   6.652004667s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 2946 note(s) the playhead had already passed (the render path was still warming up)
   7.167516917s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 12 note(s) the playhead had already passed (the render path was still warming up)
   8.166973917s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 24 note(s) the playhead had already passed (the render path was still warming up)
   9.167328958s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 12 note(s) the playhead had already passed (the render path was still warming up)
  10.167605250s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 10 note(s) the playhead had already passed (the render path was still warming up)
  10.234287625s  INFO system{name="kintaro::profiling::report_frame_cost"}: kintaro::perf: [frame] 53 fps (19.0 ms avg, worst 250.0) — 2.3k marks/s, ~27.9k live (12.0 u life)
  11.167373125s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 12 note(s) the playhead had already passed (the render path was still warming up)
  12.167708375s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 15 note(s) the playhead had already passed (the render path was still warming up)
  13.167714083s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 12 note(s) the playhead had already passed (the render path was still warming up)
  14.167318167s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 10 note(s) the playhead had already passed (the render path was still warming up)
  15.166804875s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 12 note(s) the playhead had already passed (the render path was still warming up)
  15.234523083s  INFO system{name="kintaro::profiling::report_frame_cost"}: kintaro::perf: [frame] 60 fps (16.7 ms avg, worst 18.2) — 3.3k marks/s, ~40.0k live (12.0 u life)
  16.166688292s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 28 note(s) the playhead had already passed (the render path was still warming up)
  17.166967167s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 10 note(s) the playhead had already passed (the render path was still warming up)
  18.167420000s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 12 note(s) the playhead had already passed (the render path was still warming up)
  19.166582375s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 10 note(s) the playhead had already passed (the render path was still warming up)
  20.167548917s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 18 note(s) the playhead had already passed (the render path was still warming up)
  20.234869333s  INFO system{name="kintaro::profiling::report_frame_cost"}: kintaro::perf: [frame] 60 fps (16.7 ms avg, worst 20.2) — 3.3k marks/s, ~39.4k live (12.0 u life)
  21.166942625s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 15 note(s) the playhead had already passed (the render path was still warming up)
  22.168362625s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 18 note(s) the playhead had already passed (the render path was still warming up)
  23.167812667s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 20 note(s) the playhead had already passed (the render path was still warming up)
  24.166982250s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 24 note(s) the playhead had already passed (the render path was still warming up)
  25.167323500s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 10 note(s) the playhead had already passed (the render path was still warming up)
  25.235094042s  INFO system{name="kintaro::profiling::report_frame_cost"}: kintaro::perf: [frame] 60 fps (16.7 ms avg, worst 25.9) — 1.2k marks/s, ~13.9k live (12.0 u life)
  26.167392667s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 12 note(s) the playhead had already passed (the render path was still warming up)
  27.167619292s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 10 note(s) the playhead had already passed (the render path was still warming up)
  28.167381750s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 18 note(s) the playhead had already passed (the render path was still warming up)
  29.167668583s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 10 note(s) the playhead had already passed (the render path was still warming up)
  30.167535583s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 12 note(s) the playhead had already passed (the render path was still warming up)
  30.235325458s  INFO system{name="kintaro::profiling::report_frame_cost"}: kintaro::perf: [frame] 60 fps (16.7 ms avg, worst 38.8) — 1.7k marks/s, ~20.0k live (12.0 u life)
  31.167138958s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 10 note(s) the playhead had already passed (the render path was still warming up)
